ALLEY,ALY
ALLY,ALY
ALY,ALY
ANEX,ANX
ANNEX,ANX
ANNX,ANX
ANX,ANX
ARCADE,ARC
AVENUE,AVE
AVE,AVE
AVEN,AVE
AVENU,AVE
AVN,AVE
AVNUE,AVE
BAYOU,BYU
BEACH,BCH
BEND,BND
BND,BND
BLUFF,BLF
BLUF,BLF
BLUFFS,BLFS
BOTTOM,BTM
BTM,BTM
BOTTM,BTM
BOULEVARD,BLVD
BOUL,BLVD
BOULV,BLVD
BRANCH,BR
BRNCH,BR
BRIDGE,BRG
BRG,BRG
BROOK,BRK
BROOKS,BRKS
BURG,BG
BURGS,BGS
BYPASS,BYP
BYPA,BYP
BYPAS,BYP
BYPS,BYP
CAMP,CP
CP,CP
CMP,CP
CANYON,CYN
CNYN,CYN
CAPE,CPE
CPE,CPE
CAUSEWAY,CSWY
CAUSWA,CSWY
CSWY,CSWY
CENTER,CTR
CENT,CTR
CENTR,CTR
CENTRE,CTR
CNTER,CTR
CNTR,CTR
CTR,CTR
CENTERS,CTRS
CIRCLE,CIR
CIRC,CIR
CIRCL,CIR
CRCL,CIR
CRCLE,CIR
CIRCLES,CIRS
CLIFF,CLF
CLIFFS,CLFS
CLUB,CLB
COMMON,CMN
COMMONS,CMNS
CORNER,COR
CORNERS,CORS
CORS,CORS
COURSE,CRSE
CRSE,CRSE
COURT,CT
CT,CT
COURTS,CTS
CTS,CTS
COVE,CV
CV,CV
COVES,CVS
CREEK,CRK
CRK,CRK
CRESCENT,CRES
CRES,CRES
CRSENT,CRES
CRSNT,CRES
CREST,CRST
CROSSING,XING
CRSSNG,XING
XING,XING
CROSSROAD,XRD
CROSSROADS,XRDS
CURVE,CURV
DALE,DL
DL,DL
DAM,DM
DM,DM
DIVIDE,DV
DV,DV
DVD,DV
DRIVE,DR
DRIV,DR
DRV,DR
DRIVES,DRS
ESTATE,EST
ESTATES,ESTS
ESTS,ESTS
EXPRESSWAY,EXPY
EXPR,EXPY
EXPRESS,EXPY
EXPW,EXPY
EXPY,EXPY
EXTENSION,EXT
EXTN,EXT
EXTNSN,EXT
EXTENSIONS,EXTS
FALL,FALL
FALLS,FLS
FLS,FLS
FERRY,FRY
FRRY,FRY
FRY,FRY
FIELD,FLD
FLD,FLD
FIELDS,FLDS
FLDS,FLDS
FLAT,FLT
FLT,FLT
FLATS,FLTS
FLTS,FLTS
FORD,FRD
FRD,FRD
FORDS,FRDS
FOREST,FRST
FORESTS,FRST
FRST,FRST
FORGE,FRG
FRG,FRG
FORGES,FRGS
FORK,FRK
FRK,FRK
FORKS,FRKS
FRKS,FRKS
FORT,FT
FRT,FT
FT,FT
FREEWAY,FWY
FREEWY,FWY
FRWAY,FWY
FRWY,FWY
FWY,FWY
GARDEN,GDN
GARDN,GDN
GRDEN,GDN
GRDN,GDN
GARDENS,GDNS
GDNS,GDNS
GRDNS,GDNS
GATEWAY,GTWY
GATEWY,GTWY
GATWAY,GTWY
GTWAY,GTWY
GTWY,GTWY
GLEN,GLN
GLN,GLN
GLENS,GLNS
GREEN,GRN
GRN,GRN
GREENS,GRNS
GROVE,GRV
GRV,GRV
GROVES,GRVS
HARBOR,HBR
HARBR,HBR
HBR,HBR
HRBOR,HBR
HARBORS,HBRS
HAVEN,HVN
HVN,HVN
HEIGHTS,HTS
HTS,HTS
HIGHWAY,HWY
HIGHWY,HWY
HIWAY,HWY
HIWY,HWY
HWAY,HWY
HWY,HWY
HILL,HL
HL,HL
HILLS,HLS
HLS,HLS
HOLLOW,HOLW
HOLLOWS,HOLW
HOLW,HOLW
HOLWS,HOLW
INLET,INLT
ISLAND,IS
ISLND,IS
ISLANDS,ISS
ISLNDS,ISS
ISS,ISS
ISLE,ISLE
ISLES,ISLE
JUNCTION,JCT
JCTION,JCT
JCTN,JCT
JUNCTN,JCT
JUNCTON,JCT
JUNCTIONS,JCTS
JCTS,JCTS
KEY,KY
KY,KY
KEYS,KYS
KYS,KYS
KNOLL,KNL
KNOL,KNL
KNOLLS,KNLS
LAKE,LK
LAKES,LKS
LAND,LAND
LANDING,LNDG
LNDG,LNDG
LNDNG,LNDG
LANE,LN
LN,LN
LIGHT,LGT
LIGHTS,LGTS
LOAF,LF
LOCK,LCK
LOCKS,LCKS
LODGE,LDG
LDGE,LDG
LODG,LDG
LOOP,LOOP
LOOPS,LOOP
MALL,MALL
MANOR,MNR
MANORS,MNRS
MNRS,MNRS
MEADOW,MDW
MEADOWS,MDWS
MDWS,MDWS
MEDOWS,MDWS
MEWS,MEWS
MILL,ML
MILLS,MLS
MISSION,MSN
MSSN,MSN
MOTORWAY,MTWY
MOUNT,MT
MT,MT
MOUNTAIN,MTN
MNTN,MTN
MOUNTIN,MTN
MTIN,MTN
MTN,MTN
MOUNTAINS,MTNS
NECK,NCK
ORCHARD,ORCH
ORCHRD,ORCH
OVAL,OVAL
OVL,OVAL
OVERPASS,OPAS
PARK,PARK
PRK,PARK
PARKS,PARK
PARKWAY,PKWY
PARKWY,PKWY
PKWAY,PKWY
PKWY,PKWY
PKY,PKWY
PARKWAYS,PKWY
PKWYS,PKWY
PASS,PASS
PASSAGE,PSGE
PATH,PATH
PATHS,PATH
PIKE,PIKE
PIKES,PIKE
PINE,PNE
PINES,PNES
PNES,PNES
PLACE,PL
PLAIN,PLN
PLN,PLN
PLAINS,PLNS
PLNS,PLNS
PLAZA,PLZ
PLZ,PLZ
PLZA,PLZ
POINT,PT
PT,PT
POINTS,PTS
PTS,PTS
PORT,PRT
PRT,PRT
PORTS,PRTS
PRTS,PRTS
PRAIRIE,PR
PRR,PR
RADIAL,RADL
RADIEL,RADL
RADL,RADL
RAMP,RAMP
RANCH,RNCH
RANCHES,RNCH
RNCH,RNCH
RNCHS,RNCH
RAPID,RPD
RPD,RPD
RAPIDS,RPDS
RPDS,RPDS
REST,RST
RST,RST
RIDGE,RDG
RDGE,RDG
RIDGES,RDGS
RIVER,RIV
RVR,RIV
RIVR,RIV
ROAD,RD
ROADS,RDS
RDS,RDS
ROUTE,RTE
ROW,ROW
RUE,RUE
RUN,RUN
SHOAL,SHL
SHOALS,SHLS
SHORE,SHR
SHR,SHR
SHORES,SHRS
SHRS,SHRS
SKYWAY,SKWY
SPRING,SPG
SPNG,SPG
SPRNG,SPG
SPRINGS,SPGS
SPNGS,SPGS
SPRNGS,SPGS
SPUR,SPUR
SPURS,SPUR
SQUARE,SQ
SQR,SQ
SQRE,SQ
SQU,SQ
SQUARES,SQS
STATION,STA
STATN,STA
STN,STA
STRAVENUE,STRA
STRAV,STRA
STRAVEN,STRA
STRAVN,STRA
STRVN,STRA
STRVNUE,STRA
STREAM,STRM
STREME,STRM
STRM,STRM
STREET,ST
STRT,ST
ST,ST
STR,ST
STREETS,STS
SUMMIT,SMT
SUMIT,SMT
SUMITT,SMT
TERRACE,TER
TERR,TER
THROUGHWAY,TRWY
TRACE,TRCE
TRACES,TRCE
TRCE,TRCE
TRACK,TRAK
TRACKS,TRAK
TRAK,TRAK
TRK,TRAK
TRKS,TRAK
TRAFFICWAY,TRFY
TRAIL,TRL
TRAILS,TRL
TRL,TRL
TRLS,TRL
TRAILER,TRLR
TRLR,TRLR
TRLRS,TRLR
TUNNEL,TUNL
TUNL,TUNL
TUNLS,TUNL
TUNNELS,TUNL
TUNNL,TUNL
TURNPIKE,TPKE
TURNPK,TPKE
UNDERPASS,UPAS
UNION,UN
UNIONS,UNS
VALLEY,VLY
VALLY,VLY
VLLY,VLY
VLY,VLY
VALLEYS,VLYS
VLYS,VLYS
VIADUCT,VIA
VIA,VIA
VIADCT,VIA
VIEW,VW
VW,VW
VIEWS,VWS
VWS,VWS
VILLAGE,VLG
VILLAG,VLG
VILLG,VLG
VILLIAGE,VLG
VLG,VLG
VILLAGES,VLGS
VLGS,VLGS
VILLE,VL
VL,VL
VISTA,VIS
VIST,VIS
VST,VIS
VSTA,VIS
WALK,WALK
WALKS,WALK
WALL,WALL
WAY,WAY
WAYS,WAYS
WELL,WL
WELLS,WLS
WLS,WLS
ALLEE,ALY
ARC,ARC
AV,AVE
BAYOO,BYU
BCH,BCH
BLF,BLF
BOT,BTM
BLVD,BLVD
BR,BR
BRDGE,BRG
BRK,BRK
BYP,BYP
CANYN,CYN
CEN,CTR
CIR,CIR
CLF,CLF
CLFS,CLFS
CLB,CLB
COR,COR
DIV,DV
DR,DR
EST,EST
EXP,EXPY
EXT,EXT
EXTS,EXTS
FORG,FRG
GROV,GRV
HARB,HBR
HT,HTS
HLLW,HOLW
INLT,INLT
IS,IS
JCT,JCT
JCTNS,JCTS
KNL,KNL
KNLS,KNLS
LK,LK
LKS,LKS
LGT,LGT
LF,LF
LCK,LCK
LCKS,LCKS
LDG,LDG
MNR,MNR
MDW,MDWS
MISSN,MSN
MNT,MT
MNTAIN,MTN
MNTNS,MTNS
NCK,NCK
ORCH,ORCH
PL,PL
PR,PR
RAD,RADL
RDG,RDG
RDGS,RDGS
RIV,RIV
RD,RD
SHL,SHL
SHLS,SHLS
SHOAR,SHR
SHOARS,SHRS
SPG,SPG
SPGS,SPGS
SQ,SQ
SQRS,SQS
STA,STA
STRA,STRA
SMT,SMT
TER,TER
TUNEL,TUNL
TRNPK,TPKE
UN,UN
VDCT,VIA
VILL,VLG
VIS,VIS
WY,WAY